Year,Series,Hondakinen tratamendua,Lurralde historikoa,Units,Value
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,434.5
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,457.8
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,469.5
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,462.3
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,446.2
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,463.0
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,449.7
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,472.3
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,469.8
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,458.4
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,474.7
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,485.3
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,,Kg per capita,445.9
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,405.5
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,444.9
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,436.3
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,403.8
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,387.0
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,405.3
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,421.7
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,411.1
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,425.4
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,422.3
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,408.7
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,392.3
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,Araba / Álava,Kg per capita,390.6
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,470.8
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,475.2
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,467.6
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,428.2
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,485.1
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,476.6
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,447.2
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,457.8
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,492.7
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,480.3
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,437.1
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,462.7
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,Bizkaia,Kg per capita,466.3
2015,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,510.7
2010,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,460.2
2018,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,508.0
2011,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,449.9
2022,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,432.9
2017,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,488.1
2013,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,490.0
2012,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,460.5
2019,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,453.7
2020,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,426.7
2014,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,523.3
2021,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,448.6
2016,Biztanle bakoitzeko bildutako hiri-hondakinak,,Gipuzkoa,Kg per capita,525.3
2017,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2021,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2010,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2012,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2015,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2011,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2022,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2019,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2013,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2016,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2020,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2014,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2018,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,,PT,100.0
2015,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2019,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2013,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2021,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2016,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2014,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2020,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2018,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2010,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2012,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2011,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2022,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2017,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Araba / Álava,PT,100.0
2013,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2016,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2015,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2018,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2010,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2019,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2020,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2017,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2014,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2022,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2011,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2021,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2012,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Bizkaia,PT,100.0
2016,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2011,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2021,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2018,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2010,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
2015,Instalazio kontrolatuetan bildu eta administratutako hiri-hondakinen proportzioa,,Gipuzkoa,PT,100.0
