Year,Series,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2012,SG_DSR_SILS,,,,PT,,33.73
2014,SG_DSR_SILS,,,,PT,,34.13
2023,SG_DSR_SILS,,,,PT,,34.52
2019,SG_DSR_SILS,,,,PT,,34.13
2024,SG_DSR_SILS,,,,PT,,35.32
2017,SG_DSR_SILS,,,,PT,,34.13
2015,SG_DSR_SILS,,,,PT,,34.13
2016,SG_DSR_SILS,,,,PT,,34.13
2022,SG_DSR_SILS,,,,PT,,34.52
2018,SG_DSR_SILS,,,,PT,,34.13
2020,SG_DSR_SILS,,,,PT,,34.13
2013,SG_DSR_SILS,,,,PT,,33.73
2021,SG_DSR_SILS,,,,PT,,34.52
2011,SG_DSR_SILS,,,,PT,,33.73
2010,SG_DSR_SILS,,,,PT,,33.73
2017,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2011,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2016,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2021,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2020,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2015,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2019,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2022,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2012,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2024,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2013,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2010,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2014,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2023,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2018,SG_DSR_SILS,,,Abadiño,PT,Abadiño,100.0
2013,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2015,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2020,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2014,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2017,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2023,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2019,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2016,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2011,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2018,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2012,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2021,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2010,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2022,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
2024,SG_DSR_SILS,,,Abaltzisketa,PT,Abaltzisketa,0.0
