Year,Series,NCD,Sexo,Territorio,Units,Value
2019,SH_DTH_NCOM,NCOM,,,PT,9.6
2015,SH_DTH_NCOM,NCOM,,,PT,10.3
2010,SH_DTH_NCOM,NCOM,,,PT,11.0
2015,SH_DTH_NCOM,NCOM,F,,PT,6.6
2010,SH_DTH_NCOM,NCOM,F,,PT,6.7
2019,SH_DTH_NCOM,NCOM,F,,PT,6.5
2019,SH_DTH_NCOM,NCOM,M,,PT,12.8
2015,SH_DTH_NCOM,NCOM,M,,PT,14.0
2010,SH_DTH_NCOM,NCOM,M,,PT,15.4
2017,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,647.2
2018,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,648.9
2022,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,625.9
2021,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,622.4
2012,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,628.5
2011,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,626.2
2014,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,620.7
2015,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,651.4
2010,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,616.2
2016,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,641.2
2019,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,631.2
2013,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,613.0
2020,EU_SH_DTH_NCOM,NCOM,,,PER_100000_POP,607.8
2011,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,539.2
2014,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,496.1
2016,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,553.9
2012,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,524.5
2013,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,546.6
2020,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,491.8
2017,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,567.5
2022,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,538.1
2015,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,574.1
2021,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,536.3
2019,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,546.4
2018,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,538.3
2010,EU_SH_DTH_NCOM,NCOM,,ES211,PER_100000_POP,521.0
2010,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,654.2
2014,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,669.0
2016,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,689.2
2011,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,662.9
2020,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,651.0
2012,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,669.6
2022,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,659.6
2015,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,696.8
2019,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,676.6
2017,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,684.1
2021,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,648.0
2013,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,642.3
2018,EU_SH_DTH_NCOM,NCOM,,ES213,PER_100000_POP,691.0
2011,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,605.6
2021,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,621.2
2013,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,595.4
2019,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,597.6
2014,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,599.2
2012,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,608.3
2015,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,613.5
2020,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,592.1
2017,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,624.4
2010,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,596.9
2022,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,613.0
2016,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,603.6
2018,EU_SH_DTH_NCOM,NCOM,,ES212,PER_100000_POP,631.8
2017,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,581.7
2021,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,566.5
2020,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,550.5
2010,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,536.9
2014,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,556.0
2015,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,586.7
2013,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,538.5
2022,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,573.5
2018,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,580.4
2011,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,553.0
2019,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,567.0
2016,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,572.1
2012,EU_SH_DTH_NCOM,NCOM,F,,PER_100000_POP,554.2
2019,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,471.7
2016,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,468.7
2014,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,437.9
2011,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,453.0
2021,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,464.5
2018,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,448.8
2010,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,453.1
2020,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,426.3
2013,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,470.1
2022,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,498.7
2017,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,500.8
2012,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,454.1
2015,EU_SH_DTH_NCOM,NCOM,F,ES211,PER_100000_POP,526.7
2016,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,620.9
2021,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,591.7
2022,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,607.0
2014,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,605.0
2010,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,563.5
2020,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,594.9
2019,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,601.9
2017,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,614.1
2018,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,620.5
2011,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,583.9
2012,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,587.6
2013,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,564.5
2015,EU_SH_DTH_NCOM,NCOM,F,ES213,PER_100000_POP,619.1
2014,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,528.7
2015,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,560.7
2020,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,535.3
2013,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,526.4
2017,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,565.7
2011,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,546.6
2021,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,572.4
2012,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,543.8
2019,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,554.0
2010,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,530.0
2018,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,575.1
2016,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,539.6
2022,EU_SH_DTH_NCOM,NCOM,F,ES212,PER_100000_POP,553.8
2017,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,716.5
2015,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,719.8
2011,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,702.9
2019,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,699.3
2020,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,668.5
2010,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,699.3
2014,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,689.1
2016,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,714.0
2013,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,691.4
2012,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,706.3
2021,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,681.7
2018,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,721.4
2022,EU_SH_DTH_NCOM,NCOM,M,,PER_100000_POP,681.6
2017,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,636.3
2012,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,595.7
2021,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,610.6
2018,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,630.8
2020,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,559.6
2019,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,623.6
2011,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,626.0
2010,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,589.2
2015,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,622.7
2013,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,624.5
2022,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,579.0
2014,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,555.5
2016,EU_SH_DTH_NCOM,NCOM,M,ES211,PER_100000_POP,641.5
2011,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,747.2
2010,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,750.8
2016,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,762.8
2021,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,708.7
2013,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,725.7
2015,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,780.4
2012,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,757.3
2014,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,738.0
2017,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,759.5
2022,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,716.3
2020,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,711.4
2019,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,757.1
2018,EU_SH_DTH_NCOM,NCOM,M,ES213,PER_100000_POP,767.2
2021,EU_SH_DTH_NCOM,NCOM,M,ES212,PER_100000_POP,672.4
2012,EU_SH_DTH_NCOM,NCOM,M,ES212,PER_100000_POP,675.4
2010,EU_SH_DTH_NCOM,NCOM,M,ES212,PER_100000_POP,666.4
2019,EU_SH_DTH_NCOM,NCOM,M,ES212,PER_100000_POP,643.3
