Year,Series,Territorio,Units,Value
2022,FB_CBK_BRCH,ES211,PER_100000,54.4
2012,FB_CBK_BRCH,ES211,PER_100000,113.8
2018,FB_CBK_BRCH,ES212,PER_100000,74.7
2020,FB_CBK_BRCH,ES211,PER_100000,63.2
2022,FB_CBK_BRCH,ES213,PER_100000,50.4
2014,FB_CBK_BRCH,ES211,PER_100000,93.9
2020,FB_CBK_BRCH,ES213,PER_100000,59.5
2018,FB_CBK_BRCH,ES213,PER_100000,69.0
2018,FB_CBK_BRCH,ES211,PER_100000,72.6
2016,FB_CBK_BRCH,ES213,PER_100000,75.4
2012,FB_CBK_BRCH,ES212,PER_100000,94.8
2014,FB_CBK_BRCH,ES213,PER_100000,79.4
2012,FB_CBK_BRCH,ES213,PER_100000,95.8
2010,FB_CBK_BRCH,ES212,PER_100000,98.7
2023,FB_CBK_BRCH,ES211,PER_100000,53.7
2021,FB_CBK_BRCH,ES212,PER_100000,59.4
2015,FB_CBK_BRCH,ES211,PER_100000,91.6
2023,FB_CBK_BRCH,ES213,PER_100000,49.6
2019,FB_CBK_BRCH,ES211,PER_100000,68.9
2019,FB_CBK_BRCH,ES213,PER_100000,66.0
2017,FB_CBK_BRCH,ES212,PER_100000,77.5
2013,FB_CBK_BRCH,ES212,PER_100000,89.7
2015,FB_CBK_BRCH,ES213,PER_100000,78.3
2011,FB_CBK_BRCH,ES213,PER_100000,98.8
2023,FB_CBK_BRCH,ES212,PER_100000,53.3
2021,FB_CBK_BRCH,ES211,PER_100000,58.8
2015,FB_CBK_BRCH,ES212,PER_100000,84.4
2017,FB_CBK_BRCH,ES213,PER_100000,71.0
2019,FB_CBK_BRCH,ES212,PER_100000,70.8
2013,FB_CBK_BRCH,ES213,PER_100000,85.6
2011,FB_CBK_BRCH,ES212,PER_100000,97.0
2017,FB_CBK_BRCH,ES211,PER_100000,76.0
2013,FB_CBK_BRCH,ES211,PER_100000,102.4
2011,FB_CBK_BRCH,ES211,PER_100000,118.0
2010,FB_CBK_BRCH,ES211,PER_100000,122.5
2016,FB_CBK_BRCH,ES211,PER_100000,83.7
2022,FB_CBK_BRCH,ES212,PER_100000,54.3
2022,FB_CBK_BRCH,ES211,PER_100000,54.4
2020,FB_CBK_BRCH,ES212,PER_100000,65.8
2012,FB_CBK_BRCH,ES211,PER_100000,113.8
2018,FB_CBK_BRCH,ES212,PER_100000,74.7
2020,FB_CBK_BRCH,ES211,PER_100000,63.2
2016,FB_CBK_BRCH,ES212,PER_100000,81.3
2022,FB_CBK_BRCH,ES213,PER_100000,50.4
2014,FB_CBK_BRCH,ES211,PER_100000,93.9
2020,FB_CBK_BRCH,ES213,PER_100000,59.5
2014,FB_CBK_BRCH,ES212,PER_100000,86.1
2018,FB_CBK_BRCH,ES213,PER_100000,69.0
2018,FB_CBK_BRCH,ES211,PER_100000,72.6
2016,FB_CBK_BRCH,ES213,PER_100000,75.4
2012,FB_CBK_BRCH,ES212,PER_100000,94.8
2014,FB_CBK_BRCH,ES213,PER_100000,79.4
2012,FB_CBK_BRCH,ES213,PER_100000,95.8
2010,FB_CBK_BRCH,ES212,PER_100000,98.7
2010,FB_CBK_BRCH,ES213,PER_100000,101.2
2023,FB_CBK_BRCH,ES211,PER_100000,53.7
2021,FB_CBK_BRCH,ES212,PER_100000,59.4
2015,FB_CBK_BRCH,ES211,PER_100000,91.6
2017,FB_CBK_BRCH,ES212,PER_100000,77.5
2023,FB_CBK_BRCH,ES213,PER_100000,49.6
2019,FB_CBK_BRCH,ES211,PER_100000,68.9
2019,FB_CBK_BRCH,ES213,PER_100000,66.0
2013,FB_CBK_BRCH,ES212,PER_100000,89.7
2015,FB_CBK_BRCH,ES213,PER_100000,78.3
2011,FB_CBK_BRCH,ES213,PER_100000,98.8
2023,FB_CBK_BRCH,ES212,PER_100000,53.3
2021,FB_CBK_BRCH,ES211,PER_100000,58.8
2015,FB_CBK_BRCH,ES212,PER_100000,84.4
2017,FB_CBK_BRCH,ES213,PER_100000,71.0
2019,FB_CBK_BRCH,ES212,PER_100000,70.8
2021,FB_CBK_BRCH,ES213,PER_100000,54.1
