Year,Edad,Sexo,Territorio,Units,Value
2014,Y_GE10,,ES48085,PT,0.1
2016,Y_GE10,,ES01059,PT,0.3
2010,Y_GE10,,ES48020,PT,0.5
2015,Y_GE10,,ES48096,PT,0.3
2020,Y_GE10,,ES2004,PT,0.3
2016,Y_GE10,,ES01009,PT,0.6
2010,Y_GE10,,ES4802,PT,0.6
2016,Y_GE10,,ES01036,PT,0.4
2021,Y_GE10,,ES20043,PT,0.3
2010,Y_GE10,,ES01031,PT,0.1
2020,Y_GE10,,ES01059,PT,0.2
2020,Y_GE10,,ES0105,PT,0.1
2013,Y_GE10,,ES01017,PT,0.3
2021,Y_GE10,,ES48096,PT,0.2
2020,Y_GE10,,ES48083,PT,0.6
2020,Y_GE10,,ES48904,PT,0.2
2015,Y_GE10,,ES48051,PT,4.1
2019,Y_GE10,,ES48083,PT,0.7
2018,Y_GE10,,ES01052,PT,0.5
2020,Y_GE10,,ES2006,PT,0.3
2013,Y_GE10,,ES01018,PT,0.1
2018,Y_GE10,,ES48017,PT,0.3
2016,Y_GE10,,ES48062,PT,0.3
2014,Y_GE10,,ES20027,PT,0.5
2016,Y_GE10,,ES48047,PT,0.5
2014,Y_GE10,,ES48046,PT,0.2
2020,Y_GE10,,ES20003,PT,0.3
2013,Y_GE10,,ES20059,PT,0.4
2021,Y_GE10,,ES01036,PT,0.3
2019,Y_GE10,,ES20059,PT,0.3
2018,Y_GE10,,ES20064,PT,0.5
2021,Y_GE10,,ES20026,PT,0
2018,Y_GE10,,ES0106,PT,0.4
2016,Y_GE10,,ES20003,PT,0.3
2018,Y_GE10,,ES20065,PT,0.5
2010,Y_GE10,,ES48094,PT,0.7
2015,Y_GE10,,ES48044,PT,0.1
2018,Y_GE10,,ES01063,PT,0
2018,Y_GE10,,ES20059,PT,0.3
2014,Y_GE10,,ES48014,PT,0.6
2019,Y_GE10,,ES20010,PT,0.2
2010,Y_GE10,,ES20058,PT,0.5
2019,Y_GE10,,ES01023,PT,0
2016,Y_GE10,,ES20010,PT,0.3
2016,Y_GE10,,ES20039,PT,0.1
2010,Y_GE10,,ES20011,PT,0.8
2015,Y_GE10,,ES48013,PT,0.8
2016,Y_GE10,,ES20025,PT,0.2
2010,Y_GE10,,ES48040,PT,0.1
2014,Y_GE10,,ES48078,PT,0.4
2021,Y_GE10,,ES20003,PT,0.3
2020,Y_GE10,,ES20075,PT,0.4
2019,Y_GE10,,ES0101,PT,0.1
2014,Y_GE10,,ES20075,PT,0.5
2010,Y_GE10,,ES48915,PT,1.5
2015,Y_GE10,,ES20065,PT,0.5
2018,Y_GE10,,ES20076,PT,0.6
2019,Y_GE10,,ES20076,PT,0.7
2010,Y_GE10,,ES20076,PT,0.9
2019,Y_GE10,,ES01019,PT,0
2015,Y_GE10,,ES20036,PT,0.3
2015,Y_GE10,,ES20076,PT,0.8
2020,Y_GE10,,ES48012,PT,0
2010,Y_GE10,,ES0102,PT,0.3
2013,Y_GE10,,ES48011,PT,0.5
2014,Y_GE10,,ES20013,PT,0.6
2010,Y_GE10,,ES48096,PT,0.4
2020,Y_GE10,,ES20078,PT,0.3
2014,Y_GE10,,ES48011,PT,0.5
2013,Y_GE10,,ES48034,PT,0.7
2016,Y_GE10,,ES48054,PT,0.2
2013,Y_GE10,,ES48033,PT,1.3
2016,Y_GE10,,ES20079,PT,0.2
2021,Y_GE10,,ES20035,PT,0
2018,Y_GE10,,ES48055,PT,0.6
2018,Y_GE10,,ES48075,PT,0.4
2014,Y_GE10,,ES48026,PT,0.3
2013,Y_GE10,,ES48010,PT,0
2020,Y_GE10,,ES48075,PT,0.3
2013,Y_GE10,,ES01043,PT,0.7
2018,Y_GE10,,ES48066,PT,0
2015,Y_GE10,,ES01034,PT,0
2018,Y_GE10,,ES20002,PT,0
2010,Y_GE10,,ES20014,PT,0.4
2016,Y_GE10,,ES48906,PT,0.3
2015,Y_GE10,,ES48074,PT,0.5
2013,Y_GE10,,ES20081,PT,0.4
2019,Y_GE10,,ES48066,PT,0
2018,Y_GE10,,ES20081,PT,0.3
2014,Y_GE10,,ES48091,PT,0.5
2016,Y_GE10,,ES0105,PT,0.2
2016,Y_GE10,,ES20902,PT,0.3
2015,Y_GE10,,ES48009,PT,0
2013,Y_GE10,,ES20008,PT,0.1
2019,Y_GE10,,ES20031,PT,0
2013,Y_GE10,,ES48073,PT,0.7
2010,Y_GE10,,ES20023,PT,1.6
2015,Y_GE10,,ES01044,PT,0.8
2010,Y_GE10,,ES48024,PT,0.4
2013,Y_GE10,,ES20022,PT,0.2
2010,Y_GE10,,ES48023,PT,0.1
2020,Y_GE10,,ES20904,PT,1.5
2010,Y_GE10,,ES20067,PT,1.1
2019,Y_GE10,,ES01044,PT,0.7
2014,Y_GE10,,ES48007,PT,0.2
2018,Y_GE10,,ES20017,PT,0.5
2014,Y_GE10,,ES48022,PT,0.3
2018,Y_GE10,,ES48008,PT,1.4
2020,Y_GE10,,ES01037,PT,0
2018,Y_GE10,,ES48068,PT,0.2
2020,Y_GE10,,ES48020,PT,0.3
2015,Y_GE10,,ES20906,PT,0
2013,Y_GE10,,ES20904,PT,0
2018,Y_GE10,,ES20054,PT,0.4
2010,Y_GE10,,ES20054,PT,0.7
2015,Y_GE10,,ES01021,PT,0
2019,Y_GE10,,ES48901,PT,0.2
2016,Y_GE10,,ES20907,PT,0.7
2021,Y_GE10,,ES20904,PT,0
2015,Y_GE10,,ES20027,PT,0.5
2016,Y_GE10,,ES48072,PT,0.8
2016,Y_GE10,,ES01049,PT,0.6
2018,Y_GE10,,ES48092,PT,0.5
2020,Y_GE10,,ES20019,PT,0.5
2015,Y_GE10,,ES4806,PT,0.4
2013,Y_GE10,,ES20019,PT,0.8
2018,Y_GE10,,ES48015,PT,0.5
2015,Y_GE10,,ES48006,PT,0
2014,Y_GE10,,ES01052,PT,0.4
2019,Y_GE10,,ES48093,PT,0.2
2020,Y_GE10,,ES48060,PT,0.3
2010,Y_GE10,,ES20004,PT,0
2020,Y_GE10,,ES48090,PT,0.2
2010,Y_GE10,,ES2002,PT,0.7
2021,Y_GE10,,ES48013,PT,0.5
2021,Y_GE10,,ES20025,PT,0.2
2015,Y_GE10,,ES48005,PT,0
2013,Y_GE10,,ES48012,PT,0
2010,Y_GE10,,ES20018,PT,0.4
2014,Y_GE10,,ES4807,PT,0.2
2019,Y_GE10,,ES20039,PT,0.1
2019,Y_GE10,,ES2002,PT,0.4
2014,Y_GE10,,ES20019,PT,0.8
2019,Y_GE10,,ES0106,PT,0.3
2018,Y_GE10,,ES20068,PT,0.9
2015,Y_GE10,,ES48003,PT,0.4
2019,Y_GE10,,ES48069,PT,0.2
2014,Y_GE10,,ES2002,PT,0.6
2013,Y_GE10,,ES01047,PT,0.2
2020,Y_GE10,,ES48903,PT,0.1
2010,Y_GE10,,ES20068,PT,1.3
2015,Y_GE10,,ES48066,PT,0
2019,Y_GE10,,ES01021,PT,0
2019,Y_GE10,,ES20021,PT,0.4
2013,Y_GE10,,ES20020,PT,0.8
2020,Y_GE10,,ES20073,PT,0.4
2018,Y_GE10,,ES20001,PT,0.3
2021,Y_GE10,,ES48903,PT,0.1
2018,Y_GE10,,ES01004,PT,0
2013,Y_GE10,,ES48006,PT,0
2016,Y_GE10,,ES48004,PT,0
2018,Y_GE10,,ES48006,PT,0
2016,Y_GE10,,ES48001,PT,0.4
2019,Y_GE10,,ES48001,PT,0.4
2016,Y_GE10,,ES48007,PT,0.2
2021,Y_GE10,,ES20008,PT,0.1
2019,Y_GE10,,ES48004,PT,0
2015,Y_GE10,,ES01902,PT,0
2020,Y_GE10,,ES01021,PT,0
2010,Y_GE10,,ES48008,PT,0.2
2016,Y_GE10,,ES01017,PT,0.4
2021,Y_GE10,,ES20019,PT,0.5
2019,Y_GE10,,ES2003,PT,0.3
2018,Y_GE10,,ES20067,PT,0.7
2021,Y_GE10,,ES20053,PT,0.3
2018,Y_GE10,,ES48069,PT,0.2
2021,Y_GE10,,ES48905,PT,0.3
2018,Y_GE10,,ES01046,PT,0.1
2015,Y_GE10,,ES20019,PT,0.8
2013,Y_GE10,,ES01033,PT,0.3
2019,Y_GE10,,ES01010,PT,0.2
2013,Y_GE10,,ES01021,PT,0
2015,Y_GE10,,ES48002,PT,0.8
2010,Y_GE10,,ES4807,PT,0.2
2010,Y_GE10,,ES20042,PT,0.5
2018,Y_GE10,,ES4807,PT,0.1
2016,Y_GE10,,ES48005,PT,0
2010,Y_GE10,,ES20008,PT,0.6
2016,Y_GE10,,ES48902,PT,0.5
2015,Y_GE10,,ES01011,PT,0.3
2013,Y_GE10,,ES01049,PT,0.6
2010,Y_GE10,,ES48010,PT,0.2
2015,Y_GE10,,ES01004,PT,0.1
2020,Y_GE10,,ES20021,PT,0
2013,Y_GE10,,ES01041,PT,0.5
2014,Y_GE10,,ES01049,PT,0.6
2019,Y_GE10,,ES48005,PT,0
2021,Y_GE10,,ES01014,PT,0
2010,Y_GE10,,ES48001,PT,0.6
2020,Y_GE10,,ES48070,PT,0
2010,Y_GE10,,ES48070,PT,0.3
2014,Y_GE10,,ES48071,PT,0.4
2015,Y_GE10,,ES01047,PT,0.2
2018,Y_GE10,,ES20040,PT,0.3
2018,Y_GE10,,ES48021,PT,0.3
2018,Y_GE10,,ES20907,PT,1.4
2016,Y_GE10,,ES20021,PT,0.4
2013,Y_GE10,,ES48068,PT,0.2
2015,Y_GE10,,ES20021,PT,0.4
2020,Y_GE10,,ES20907,PT,0
2014,Y_GE10,,ES01009,PT,0.7
2016,Y_GE10,,ES20017,PT,0.6
2010,Y_GE10,,ES48006,PT,0
2016,Y_GE10,,ES48017,PT,0.4
2016,Y_GE10,,ES01046,PT,0.3
2019,Y_GE10,,ES20068,PT,0.9
2021,Y_GE10,,ES20068,PT,0.5
2010,Y_GE10,,ES48904,PT,0.3
2014,Y_GE10,,ES20021,PT,0.4
2019,Y_GE10,,ES48017,PT,0.3
2014,Y_GE10,,ES01010,PT,0.2
2014,Y_GE10,,ES20008,PT,0.1
2010,Y_GE10,,ES48068,PT,0.5
2014,Y_GE10,,ES48018,PT,0.6
2020,Y_GE10,,ES48019,PT,0.5
2020,Y_GE10,,ES20905,PT,0
2016,Y_GE10,,ES20028,PT,0.7
2015,Y_GE10,,ES48019,PT,0.6
2013,Y_GE10,,ES20007,PT,0
2019,Y_GE10,,ES20001,PT,0.3
2013,Y_GE10,,ES20017,PT,0.8
2021,Y_GE10,,ES48072,PT,0.3
2014,Y_GE10,,ES48020,PT,0.4
2014,Y_GE10,,ES20007,PT,0.3
2014,Y_GE10,,ES20904,PT,0
2019,Y_GE10,,ES20022,PT,0.1
2015,Y_GE10,,ES20902,PT,0.4
2021,Y_GE10,,ES48020,PT,0.3
2020,Y_GE10,,ES01006,PT,0
2018,Y_GE10,,ES48905,PT,0.4
2020,Y_GE10,,ES01049,PT,0
2020,Y_GE10,,ES20017,PT,0.5
2019,Y_GE10,,ES01034,PT,0
2016,Y_GE10,,ES20055,PT,0.5
2019,Y_GE10,,ES20902,PT,0.3
2018,Y_GE10,,ES20022,PT,0.1
2010,Y_GE10,,ES20016,PT,1.1
2015,Y_GE10,,ES48022,PT,0.3
2014,Y_GE10,,ES20023,PT,0.8
2016,Y_GE10,,ES48024,PT,0.2
2010,Y_GE10,,ES20903,PT,0.5
2021,Y_GE10,,ES48059,PT,0.2
2020,Y_GE10,,ES20015,PT,0.1
2016,Y_GE10,,ES48009,PT,0
2015,Y_GE10,,ES20068,PT,0.9
2015,Y_GE10,,ES01022,PT,0
2018,Y_GE10,,ES20056,PT,0.3
2013,Y_GE10,,ES01019,PT,0
2021,Y_GE10,,ES01049,PT,0
2019,Y_GE10,,ES48075,PT,0.4
2013,Y_GE10,,ES48074,PT,0.4
2020,Y_GE10,,,PT,0.3
2021,Y_GE10,,ES48066,PT,0
2021,Y_GE10,,ES48027,PT,0.2
2010,Y_GE10,,ES48075,PT,0.6
2018,Y_GE10,,ES20901,PT,0.4
2019,Y_GE10,,ES20009,PT,0.5
2014,Y_GE10,,ES20081,PT,0.4
2014,Y_GE10,,ES48044,PT,0.1
2021,Y_GE10,,ES20031,PT,0
2010,Y_GE10,,ES20009,PT,0.9
2014,Y_GE10,,ES48027,PT,0.3
2016,Y_GE10,,ES20080,PT,0.6
2018,Y_GE10,,ES20069,PT,0.2
2021,Y_GE10,,ES4801,PT,0.3
2013,Y_GE10,,ES20032,PT,0.9
2019,Y_GE10,,ES20080,PT,0.5
2016,Y_GE10,,ES20014,PT,0.5
2021,Y_GE10,,ES01043,PT,0.5
2014,Y_GE10,,ES4801,PT,0.4
2019,Y_GE10,,ES20056,PT,0.2
2020,Y_GE10,,ES20013,PT,0.4
2010,Y_GE10,,ES20069,PT,0.3
2019,Y_GE10,,ES48065,PT,0.3
2016,Y_GE10,,ES20007,PT,0.3
2016,Y_GE10,,ES01042,PT,0.2
2020,Y_GE10,,ES48076,PT,0.3
2021,Y_GE10,,ES4803,PT,0.3
2014,Y_GE10,,ES48010,PT,0
2018,Y_GE10,,ES20034,PT,0.3
2016,Y_GE10,,ES48076,PT,0.3
2020,Y_GE10,,ES48065,PT,0.2
2010,Y_GE10,,ES01006,PT,0
2021,Y_GE10,,ES48011,PT,0.3
2013,Y_GE10,,ES48076,PT,0.3
2010,Y_GE10,,ES20013,PT,0.8
2016,Y_GE10,,ES20077,PT,0.2
2014,Y_GE10,,ES48031,PT,0
2021,Y_GE10,,ES20012,PT,0
2015,Y_GE10,,ES20024,PT,0.2
2021,Y_GE10,,ES01023,PT,0
2018,Y_GE10,,ES01042,PT,0.2
2018,Y_GE10,,ES48076,PT,0.3
2016,Y_GE10,,ES20072,PT,0.5
2018,Y_GE10,,ES48095,PT,0.3
2015,Y_GE10,,ES48033,PT,0.8
2016,Y_GE10,,ES20076,PT,0.7
2010,Y_GE10,,ES48906,PT,0.4
2015,Y_GE10,,ES48078,PT,0.4
2014,Y_GE10,,ES0101,PT,0.2
2019,Y_GE10,,ES20038,PT,0
2019,Y_GE10,,ES20075,PT,0.4
2013,Y_GE10,,ES20075,PT,0.5
2019,Y_GE10,,ES20024,PT,0.2
2016,Y_GE10,,ES20024,PT,0.2
2015,Y_GE10,,ES48011,PT,0.5
2010,Y_GE10,,ES01051,PT,0.9
2014,Y_GE10,,ES20011,PT,0.6
2013,Y_GE10,,ES48095,PT,0.8
2019,Y_GE10,,ES20077,PT,0.2
2015,Y_GE10,,ES20074,PT,0.4
2019,Y_GE10,,ES20074,PT,0.3
2015,Y_GE10,,ES48042,PT,0.5
2014,Y_GE10,,ES20024,PT,0.2
2019,Y_GE10,,ES20007,PT,0.3
2010,Y_GE10,,ES48037,PT,0.3
2013,Y_GE10,,ES48042,PT,0.5
2010,Y_GE10,,ES48014,PT,0.8
2020,Y_GE10,,ES48079,PT,0
2020,Y_GE10,,ES48043,PT,0.1
2020,Y_GE10,,ES01023,PT,0
2018,Y_GE10,,ES48038,PT,0.6
2020,Y_GE10,,ES01003,PT,0.1
2019,Y_GE10,,ES48014,PT,0.4
2018,Y_GE10,,ES20048,PT,0
2021,Y_GE10,,ES20075,PT,0.4
2016,Y_GE10,,ES48094,PT,0.4
2015,Y_GE10,,ES48039,PT,0
2019,Y_GE10,,ES48060,PT,0.3
2019,Y_GE10,,ES48912,PT,0.3
2014,Y_GE10,,ES20050,PT,0
2021,Y_GE10,,ES48047,PT,0
2010,Y_GE10,,ES48907,PT,0
2016,Y_GE10,,ES2007,PT,0.3
2014,Y_GE10,,ES48093,PT,0.7
2021,Y_GE10,,ES48040,PT,0.1
2015,Y_GE10,,ES48016,PT,0.4
2010,Y_GE10,,ES48016,PT,0.5
2015,Y_GE10,,ES48907,PT,0
2016,Y_GE10,,ES20041,PT,0.7
2020,Y_GE10,,ES01036,PT,0.4
2016,Y_GE10,,ES01037,PT,0
2018,Y_GE10,,ES48016,PT,0.3
2016,Y_GE10,,ES01001,PT,0.2
2015,Y_GE10,,ES20069,PT,0.2
2014,Y_GE10,,ES48096,PT,0.3
2015,Y_GE10,,ES20064,PT,0.6
2014,Y_GE10,,ES20040,PT,0.5
2016,Y_GE10,,ES48044,PT,0.1
2010,Y_GE10,,ES01041,PT,0
2016,Y_GE10,,ES01030,PT,0
2019,Y_GE10,,ES48905,PT,0.4
2019,Y_GE10,,ES01004,PT,0
2018,Y_GE10,,ES20007,PT,0.3
2019,Y_GE10,,ES01009,PT,0.5
2013,Y_GE10,,ES48044,PT,0.1
2014,Y_GE10,,ES48019,PT,0.8
2020,Y_GE10,,ES48052,PT,0.2
2019,Y_GE10,,ES20025,PT,0.2
2018,Y_GE10,,ES48052,PT,0.2
2010,Y_GE10,,ES01059,PT,0.3
2015,Y_GE10,,ES20043,PT,0.3
2014,Y_GE10,,ES20004,PT,0
2016,Y_GE10,,ES20026,PT,0
2020,Y_GE10,,ES01052,PT,0.4
2019,Y_GE10,,ES20060,PT,0
2016,Y_GE10,,ES48085,PT,0.1
2021,Y_GE10,,ES48097,PT,0.7
2010,Y_GE10,,ES48090,PT,0.4
2013,Y_GE10,,ES20042,PT,0.5
2013,Y_GE10,,ES20029,PT,0.2
2015,Y_GE10,,ES48908,PT,0
2020,Y_GE10,,ES48049,PT,0
2010,Y_GE10,,ES20041,PT,0.3
2013,Y_GE10,,ES48090,PT,0.3
2015,Y_GE10,,ES48046,PT,0.2
2018,Y_GE10,,ES20029,PT,0.1
2018,Y_GE10,,ES20003,PT,0.3
2018,Y_GE10,,ES20063,PT,0.3
2016,Y_GE10,,ES20060,PT,0
2015,Y_GE10,,ES48056,PT,0.1
2018,Y_GE10,,ES4805,PT,0.2
2014,Y_GE10,,ES48090,PT,0.3
2016,Y_GE10,,ES20004,PT,0
2019,Y_GE10,,ES48095,PT,0.3
2019,Y_GE10,,ES01053,PT,0
2019,Y_GE10,,ES48044,PT,0.1
2013,Y_GE10,,ES0106,PT,0.4
2019,Y_GE10,,ES48915,PT,0.7
2021,Y_GE10,,ES48083,PT,0.6
2016,Y_GE10,,ES48051,PT,3.4
2021,Y_GE10,,ES0106,PT,0.3
2018,Y_GE10,,ES48051,PT,3.9
2014,Y_GE10,,ES20069,PT,0.2
2021,Y_GE10,,ES2007,PT,0.2
2014,Y_GE10,,ES20028,PT,0.8
2015,Y_GE10,,ES48043,PT,0.1
2018,Y_GE10,,ES48061,PT,0.1
2015,Y_GE10,,ES20028,PT,0.7
2010,Y_GE10,,ES20028,PT,1
2021,Y_GE10,,ES48043,PT,0.1
2020,Y_GE10,,ES20049,PT,0.4
2013,Y_GE10,,ES20045,PT,0.5
2020,Y_GE10,,ES20063,PT,0.2
2016,Y_GE10,,ES48053,PT,0.1
2020,Y_GE10,,ES4802,PT,0.3
2016,Y_GE10,,ES48042,PT,0.5
2020,Y_GE10,,ES01018,PT,0.1
2013,Y_GE10,,ES20046,PT,0.2
2010,Y_GE10,,ES20060,PT,0
2020,Y_GE10,,ES01016,PT,0
2010,Y_GE10,,ES01014,PT,0.9
2010,Y_GE10,,ES48041,PT,0
2016,Y_GE10,,ES20029,PT,0.1
2021,Y_GE10,,ES20046,PT,0.1
2018,Y_GE10,,ES2004,PT,0.3
2020,Y_GE10,,ES48056,PT,0
2016,Y_GE10,,ES01027,PT,0
2016,Y_GE10,,ES48086,PT,0.7
2010,Y_GE10,,ES48909,PT,0
2010,Y_GE10,,ES4805,PT,0.4
2018,Y_GE10,,ES20039,PT,0.1
2021,Y_GE10,,ES20039,PT,0.1
2013,Y_GE10,,ES48094,PT,0.4
2018,Y_GE10,,ES48058,PT,0.1
2013,Y_GE10,,ES20061,PT,0.2
2021,Y_GE10,,ES48058,PT,0.1
2018,Y_GE10,,ES01006,PT,0
2020,Y_GE10,,ES20043,PT,0.2
2015,Y_GE10,,ES01053,PT,0
2020,Y_GE10,,ES20044,PT,1.1
2010,Y_GE10,,ES48022,PT,0.3
2014,Y_GE10,,ES20044,PT,0.7
2013,Y_GE10,,ES20062,PT,0.4
2016,Y_GE10,,ES48911,PT,0
2016,Y_GE10,,ES48914,PT,0
2013,Y_GE10,,ES48087,PT,1.4
2018,Y_GE10,,ES20072,PT,0.5
2020,Y_GE10,,ES20039,PT,0
2013,Y_GE10,,ES01060,PT,0.4
2014,Y_GE10,,ES01058,PT,0.3
2018,Y_GE10,,ES48023,PT,0
2021,Y_GE10,,ES01063,PT,0
2021,Y_GE10,,ES48051,PT,3.7
2016,Y_GE10,,ES48039,PT,0
2014,Y_GE10,,ES01002,PT,0.5
2014,Y_GE10,,ES48038,PT,0.2
2015,Y_GE10,,ES01054,PT,0.3
2013,Y_GE10,,ES48038,PT,0.2
2016,Y_GE10,,ES48027,PT,0.3
2013,Y_GE10,,ES20038,PT,0.4
2020,Y_GE10,,ES20009,PT,0.5
2010,Y_GE10,,ES48062,PT,0.3
2014,Y_GE10,,ES48025,PT,0.3
2014,Y_GE10,,ES48051,PT,3.4
2018,Y_GE10,,ES48914,PT,0
2021,Y_GE10,,ES48052,PT,0.2
2020,Y_GE10,,ES20031,PT,0
2020,Y_GE10,,ES0101,PT,0.1
2016,Y_GE10,,ES20037,PT,0
2010,Y_GE10,,ES48084,PT,0.9
2019,Y_GE10,,ES48025,PT,0.1
2021,Y_GE10,,ES48026,PT,0.2
2014,Y_GE10,,ES48058,PT,0.2
2014,Y_GE10,,ES48052,PT,0.2
2021,Y_GE10,,ES20047,PT,1.2
2021,Y_GE10,,ES0103,PT,0.2
2021,Y_GE10,,ES2006,PT,0.3
2019,Y_GE10,,ES48036,PT,0.3
2014,Y_GE10,,ES01055,PT,0.4
2014,Y_GE10,,ES48036,PT,0.4
2018,Y_GE10,,ES48093,PT,0.2
2016,Y_GE10,,ES20032,PT,0.7
2019,Y_GE10,,ES01032,PT,0.2
2013,Y_GE10,,ES48035,PT,0.2
2015,Y_GE10,,ES48029,PT,0.6
2014,Y_GE10,,ES48067,PT,0.2
2019,Y_GE10,,ES01013,PT,0
2018,Y_GE10,,ES48035,PT,0
2020,Y_GE10,,ES48053,PT,0
2016,Y_GE10,,ES01003,PT,0.1
2010,Y_GE10,,ES48030,PT,0.4
2015,Y_GE10,,ES20052,PT,1.3
2016,Y_GE10,,ES01061,PT,0
2013,Y_GE10,,ES4803,PT,0.6
2021,Y_GE10,,ES20033,PT,0.2
2020,Y_GE10,,ES48069,PT,0.2
2018,Y_GE10,,ES01028,PT,0.4
2019,Y_GE10,,ES0103,PT,0.2
2013,Y_GE10,,ES20034,PT,0.5
2010,Y_GE10,,ES01028,PT,0.5
2020,Y_GE10,,ES48030,PT,0.6
2018,Y_GE10,,ES20035,PT,0
2014,Y_GE10,,ES01028,PT,0.4
2013,Y_GE10,,ES01016,PT,0.2
2019,Y_GE10,,ES01028,PT,0.4
2010,Y_GE10,,ES20035,PT,0.4
2013,Y_GE10,,ES48032,PT,1.1
2019,Y_GE10,,ES48054,PT,0.2
2015,Y_GE10,,ES48032,PT,1
2016,Y_GE10,,ES48913,PT,0.1
2020,Y_GE10,,ES20055,PT,0.4
2015,Y_GE10,,ES20035,PT,0.2
2021,Y_GE10,,ES20054,PT,0.2
2010,Y_GE10,,ES48032,PT,1.3
2014,Y_GE10,,ES48033,PT,0.9
2014,Y_GE10,,ES48072,PT,0.9
2021,Y_GE10,,ES20034,PT,0.2
2020,Y_GE10,,ES20046,PT,0.1
2010,Y_GE10,,ES01008,PT,0.2
2020,Y_GE10,,ES48073,PT,0.5
2018,Y_GE10,,ES48031,PT,0
2019,Y_GE10,,ES48031,PT,0
2016,Y_GE10,,ES20038,PT,0.4
2018,Y_GE10,,ES01031,PT,0.1
2014,Y_GE10,,ES48053,PT,0.1
2010,Y_GE10,,ES20046,PT,0.4
2016,Y_GE10,,ES01016,PT,0
2016,Y_GE10,,ES0104,PT,0.3
2018,Y_GE10,,ES48096,PT,0.2
2019,Y_GE10,,ES01014,PT,0
2014,Y_GE10,,ES01001,PT,0.2
2010,Y_GE10,,ES20033,PT,0.3
2018,Y_GE10,,ES20036,PT,0.3
2020,Y_GE10,,ES20066,PT,0.4
2019,Y_GE10,,ES20045,PT,0.4
2016,Y_GE10,,ES48077,PT,0.2
2021,Y_GE10,,ES20071,PT,0.2
2018,Y_GE10,,ES4803,PT,0.4
2020,Y_GE10,,ES20032,PT,0.5
2019,Y_GE10,,ES4803,PT,0.4
2016,Y_GE10,,ES48029,PT,0.5
2015,Y_GE10,,ES20007,PT,0.3
2019,Y_GE10,,ES48029,PT,0.4
2021,Y_GE10,,ES20070,PT,0.2
2018,Y_GE10,,ES0103,PT,0.1
2018,Y_GE10,,ES20032,PT,0.6
2013,Y_GE10,,ES48066,PT,0
2020,Y_GE10,,ES20047,PT,0.9
2013,Y_GE10,,ES48027,PT,0.4
2019,Y_GE10,,ES20051,PT,0.3
2013,Y_GE10,,ES48036,PT,0.4
2016,Y_GE10,,ES48056,PT,0.1
2021,Y_GE10,,ES01028,PT,0.2
2016,Y_GE10,,ES2006,PT,0.4
2010,Y_GE10,,ES48051,PT,3.8
2020,Y_GE10,,ES20071,PT,0.2
2019,Y_GE10,,ES20032,PT,0.5
2021,Y_GE10,,ES20032,PT,0.4
2015,Y_GE10,,ES20048,PT,0
2016,Y_GE10,,ES48083,PT,0.8
2019,Y_GE10,,ES01027,PT,0
2018,Y_GE10,,ES20050,PT,0
2020,Y_GE10,,ES48085,PT,0.1
2010,Y_GE10,,ES48082,PT,0.8
2015,Y_GE10,,ES0104,PT,0.4
2010,Y_GE10,,ES48910,PT,1
2013,Y_GE10,,ES48052,PT,0.2
2018,Y_GE10,,ES48910,PT,0.5
2015,Y_GE10,,ES48085,PT,0.1
2016,Y_GE10,,ES48058,PT,0.2
2014,Y_GE10,,ES01013,PT,0
2015,Y_GE10,,ES01062,PT,0.3
2015,Y_GE10,,ES48086,PT,0.5
2018,Y_GE10,,ES01058,PT,0.3
2021,Y_GE10,,ES01006,PT,0
2010,Y_GE10,,ES01054,PT,0.6
2021,Y_GE10,,ES48024,PT,0.1
2010,Y_GE10,,ES48091,PT,0.5
2019,Y_GE10,,ES48910,PT,0.5
2021,Y_GE10,,ES2005,PT,0.4
2019,Y_GE10,,ES2001,PT,0.3
2021,Y_GE10,,ES48048,PT,0.2
2021,Y_GE10,,ES01054,PT,0.3
2016,Y_GE10,,ES20048,PT,0
2015,Y_GE10,,ES48023,PT,0
2019,Y_GE10,,ES48038,PT,0.5
2019,Y_GE10,,ES20048,PT,0
2010,Y_GE10,,ES48059,PT,0.2
2013,Y_GE10,,ES4806,PT,0.4
2019,Y_GE10,,ES20044,PT,1.1
2014,Y_GE10,,ES20049,PT,0.7
2013,Y_GE10,,ES48909,PT,0
2013,Y_GE10,,ES48089,PT,0.3
2021,Y_GE10,,ES4804,PT,0.3
2021,Y_GE10,,ES20061,PT,0.2
2021,Y_GE10,,ES20048,PT,0
2020,Y_GE10,,ES01032,PT,0.2
2016,Y_GE10,,ES48089,PT,0.2
2014,Y_GE10,,ES4806,PT,0.4
2020,Y_GE10,,ES4804,PT,0.3
2015,Y_GE10,,ES48087,PT,1.4
2015,Y_GE10,,ES4805,PT,0.3
2016,Y_GE10,,ES48021,PT,0.3
2013,Y_GE10,,ES48088,PT,0
2010,Y_GE10,,ES01060,PT,0.4
2015,Y_GE10,,ES48909,PT,0
2021,Y_GE10,,ES01058,PT,0.2
2020,Y_GE10,,ES20062,PT,0.2
2013,Y_GE10,,ES48021,PT,0.3
2010,Y_GE10,,ES20039,PT,0.1
2014,Y_GE10,,ES2004,PT,0.4
2014,Y_GE10,,ES20039,PT,0.1
2021,Y_GE10,,ES48021,PT,0.1
2010,Y_GE10,,ES48092,PT,0.9
2019,Y_GE10,,ES48040,PT,0
2013,Y_GE10,,ES20063,PT,0.4
2018,Y_GE10,,ES20049,PT,0.5
